reviewId,productId,categroyId,rate,fit,comment,title,rating_average,rating_count,rating_fit,rating_1,rating_2,rating_3,rating_4,rating_5,heightRange,weightRange,shoeSize,purchasedSize,helpfulCount,ageRange,gender,location,name,createDate,isIncentivized,userCanLike,userCanReport
590118,E445041-000,23327,5,3,I love the loose fit to this jacket. It is true to size. The green color provides a nice pop of color to your wardrobe and looks so nice thrown over your clothes.,Stylish Outer Layer,5,5,3.4,0,0,0,0,5,"6'0"" - 6'1""",160lb - 169lb,US11,L,0,25 to 34 years,Male,NY,jjp03232022,1648034082,False,False,False
1702061,E445041-000,23327,5,4,Bought this because I was needing a lighter spring jacket and the reviews on this seemed good but when I tried it on in store I knew I had to have it. Sizing is good for a coach jacket. Boxy but flattering. Soft and sturdy feel and the lining really is a great touch that allows breathability and easy on/off when layering. 12/10,Outdid my expectations,5,5,3.4,0,0,0,0,5,"6'4"" or over",,,XL,1,,Male,,CoachDaddy,1647582686,False,False,False
96734,E445041-000,23327,5,4,"good fit. looks nice, a little baggie. maybe get a size down",looks great,5,5,3.4,0,0,0,0,5,"5'10"" - 5'11""",,,L,1,20 to 24 years,Male,,6outof10,1645666184,False,False,False
6045,E445041-000,23327,5,3,"Fit him well, he likes it. wordswordswordswordswords",Got for friend,5,5,3.4,0,0,0,0,5,,,,,6,,Prefer not to say,,b9b9,1645316140,False,False,False
117707,E445041-000,23327,5,3,i have to commute to a windy area most days of the week. this jacket feels like a windbreaker in the way that i don’t feel too chilly wearing it. even better with a sweatshirt or hoodie underneath. i sized up for an oversized look.,stylish and comfy,5,5,3.4,0,0,0,0,5,"5'4"" - 5'5""",100lb - 109lb,,S,6,15 to 19 years,Female,,lovethyself,1644034608,False,False,False
1952433,E447467-000,23327,5,3,Cute lightweight jacket! Love the overall look of it. I got my usual size but the sleeves seem longer than pictured on the model. ,Cute and light,4,3,3.67,0,0,1,1,1,"5'4"" - 5'5""",100lb - 109lb,,S,1,,Female,California,Iris,1652997112,False,False,False
1553597,E447467-000,23327,3,3,"This jacket is not flattering. The length is okay, but the sleeve is so wide that I can swim in it.",Sleeve is too wide,4,3,3.67,0,0,1,1,1,"5'2"" - 5'3""",100lb - 109lb,,S,2,,Female,RI,Amber,1651864227,False,False,False
664093,E447467-000,23327,4,5,Great style basic spring jacket. The size finder recommended I order an XL although I normally wear a L. I ordered both and found them both too big. I know the sleeve style is blouson but it was still too billowy for my taste. Brought a M and it's perfect.,Cute for Spring,4,3,3.67,0,0,1,1,1,"5'6"" - 5'7""",180lb - 189lb,,M,4,45 to 54 years,Female,PA,Philly Fly Girl,1648395149,False,False,False
1853851,E445167-000,23327,2,4,I wanted to love this jacket but I have the same complaints. The material is scratchy; the sleeve are too long and only look nice scrunched up to the elbows. I thought it would look different on my body but the bottom half really does need to be a little more fitted to look nice. Will be returning.,Extremely Unpleasant Material,3.5,9,3.67,1,2,0,3,3,"5'2"" - 5'3""",140lb - 149lb,,M,1,,Female,TX,Nguyen,1652879889,False,False,False
1553553,E445167-000,23327,4,4,"This is a good light weight basic blazer with a few caveats.  It is unlined, has no shoulder pads and runs a bit large.  I usually wear a medium in Uniqlo coats, sometimes a large if I need to layer underneath.  The sleeves were a bit long too. The inside is finished nicely, despite being unlined.  ",Good basic blazer,3.5,9,3.67,1,2,0,3,3,"5'2"" - 5'3""",120lb - 129lb,US7,S,3,45 to 54 years,Female,CA,Elle,1651695373,False,False,False
1257405,E445167-000,23327,5,3,"Purchased this jacket in black and navy. It is unlined, perfect for the summer. The sleeves will have to be shortened, they are too long. The jacket has a great fit, it is supposed to be loose, not fitted. Exactly what I was looking for.
Looking forward to wearing it with summer slacks or jeans.",Great summer jacket,3.5,9,3.67,1,2,0,3,3,"5'6"" - 5'7""",,,L,1,65 years or over,Female,NY,Claire,1650648119,False,False,False
1257329,E445167-000,23327,1,5,"Unquestionably the worst product ever purchased from Uniqlo. Scratchy fabric combined with lack of any sort of lining and grossly oversized fit in the torso make this roughly like wearing a potato sack. This ""small"" fits like a small in the shoulders and a large in the body and arms. Prior blazers have had a light half lining and have been made with much better fabric, construction, and above all, sizing. ",Worst product from Uniqlo ever,3.5,9,3.67,1,2,0,3,3,,,,S,2,,Female,WA,Grumpy,1650355611,False,False,False
1109218,E445167-000,23327,5,3,"I love this all purpose, basic office jacket. Had a nice shape but could be a little more tapered in the waist and hip area. The sleeves are a little long but I am pretty short so this always happens for me. ","Great material, very light",3.5,9,3.67,1,2,0,3,3,"5'2"" - 5'3""",130lb - 139lb,US7,S,2,20 to 24 years,Female,NC,Sara,1649876170,False,False,False
1702138,E445167-000,23327,4,3,There is no lining but it’s fine because I wanted an ultra light jacket that still looks formal. Unfortunately the sleeves are a tad long but otherwise it goes well with the matching pants!,It really is ultra light!,3.5,9,3.67,1,2,0,3,3,"5'4"" - 5'5""",120lb - 129lb,,S,0,,Female,,CynthiaT,1647815057,False,False,False
1702044,E445167-000,23327,2,4,I returned this item. The jacket was way too big and the fabric was itchy.,Not for me,3.5,9,3.67,1,2,0,3,3,"5'6"" - 5'7""",140lb - 149lb,,L,0,45 to 54 years,Female,,TowardBliss,1647739205,False,False,False
1703525,E445167-000,23327,5,3,"We purchased the jacket for our employees. Design and Fabric and Price are all perfect.
It is worth of purchasing",Super Fine Item!,3.5,9,3.67,1,2,0,3,3,"4'10"" - 4'11""",80lb - 89lb,,XXS,0,25 to 34 years,Female,,lany69,1647653545,False,False,False
1701868,E445167-000,23327,4,4,beautiful fabric. falls nicely but runs big in the torso. wish I had ordered the xxs because now you're out of stock... I'm bummed because I love the matching pants.,BEautiful but big,3.5,9,3.67,1,2,0,3,3,"5'4"" - 5'5""",100lb - 109lb,,XS,3,45 to 54 years,Female,,Dill,1647439221,False,False,False
590169,E445135-000,23327,4,3,"I am 5'4"" and got a Medium. The sleeve length hit just right at my wrist not short or long. Has usable pockets, and cinching string to customize fit further. The length comes down to lower hip on me, so it gives me some coverage. I am able to layer and wear a sweater underneath. The oversized collar is unique. Not sure how the material will hold up in rain.",True to size!  Great transition jacket for spring/fall,4.5,7,3.57,0,0,1,2,4,"5'4"" - 5'5""",140lb - 149lb,US10,M,1,45 to 54 years,Female,NY,Sunflower,1648159402,False,False,False
1702750,E445135-000,23327,5,4,"Classic raincoat with modern feel! I purchased this coat to fill that “don’t want a trench coat” and “I want something more fashionable than technical gear” spot in my wardrobe. I wasn’t disappointed! I normally wear a small in Uniqlo clothing (I have a handful of cashmere and merino sweaters) but decided to size down to XS after reading a couple reviews and seeing pictures. I’m so glad I did! A small would be too big. The red is a nice warm red, which suits my coloring and clothing. I didn’t realize that you can cinch the back, but being able to do so gives it a more tailored fit without sacrificing comfort.",Get it before it’s gone!,4.5,7,3.57,0,0,1,2,4,"5'4"" - 5'5""",120lb - 129lb,,XS,1,35 to 44 years,Female,,BoyMomPGH,1646704949,False,False,False
147021,E445135-000,23327,3,4,"I bought M size. I felt little bigger than regular M size. It is light jacket, so not that much for winter. I had ultralight jacket from uniqlo and I was used to light and warm jacket. I felt this jacket is heavier than ultralight jacket.",Fall/Spring coat?,4.5,7,3.57,0,0,1,2,4,"5'2"" - 5'3""",120lb - 129lb,,M,1,45 to 54 years,Female,,Tsubasa,1645931184,False,False,False
127324,E445135-000,23327,5,4,"I really love this jacket and can use it in lots of different temperatures very comfortably. It is very roomy and I maybe could have gotten a size small instead of medium, but I do kind of like a bit of oversized for comfort and look. I totally recommend this. I really love it.",LOVE,4.5,7,3.57,0,0,1,2,4,"5'6"" - 5'7""",140lb - 149lb,,M,2,35 to 44 years,Female,,Kasy,1645651007,False,False,False
142095,E445135-000,23327,5,4,"Normally a size L but bought it in a size M. Runs loose which I like as I can wear layers under. Protects from the rain, well constructed and stylish as well. Received many compliments on it. Bought the light tan color and matches with many outfits. Highly recommend purchasing!",Amazing!,4.5,7,3.57,0,0,1,2,4,"5'6"" - 5'7""",180lb - 189lb,,M,5,25 to 34 years,Female,Florida,Sara H,1643496189,False,False,False
158810,E445135-000,23327,5,3,I bought this in a Medium. It fits well. I especially like the high collar attached to the hood.,Well made,4.5,7,3.57,0,0,1,2,4,"5'0"" - 5'1""",120lb - 129lb,,M,1,65 years or over,Female,Midwest,catlike,1643410494,False,False,False
2204,E445135-000,23327,4,3,"Ordered this in the red color, which is a beautiful mood.lifting barn red (bright, saturated, warm with a hint of tomato).  Ordered in both S and M, as I seem to be sitting between sizes these days.  My usual size elsewhere is a P8-10/PM, but I tend to size down in UQ’s often extravagantly sized outerwear.  In this particular style, however, I find the S does not allow enough room for thicker layering.  The fit across the bust, upper back, and hip is exact when zipped up.  So, I will be keeping the M, which is expectedly very roomy but happily still maintains its clean A.line structure when worn.  At 5’2”, the hem does fall lower on me, like a short coat length.  And the sleeves are a little bit long, but still fine without hemming.  I must say I find the actual fit/look of this parka to be much smarter and flattering than the baggy shapes shown on the models.  Perhaps, they are in the wrong size?  Anyhow, I recommend going with your usual outerwear size to enable easy layering and easy movement.  Overall, quality is good per UQ standard.  The cotton blend is nice.  The construction is nice.  I especially appreciate the double closure of zipper and snaps.  I think this will make the jacket more wearable and comfortable in varying climate/weather.  I took off one star, as I think there is real room for improvement in the garment design here.  A regular collar with a removable hood would further elevate the look and versatility of this parka and make it a true essential.",Barn Red Jacket!,4.5,7,3.57,0,0,1,2,4,,,,,23,,Prefer not to say,,LL808,1643141026,False,False,False
812158,E447456-001,23327,5,3,"This jacket is perfection. the perfect red, fit, and weight. It is nice for a chilly spring day. The fabric is of nice quality. The jacket seems to be constructed well.",Perfect red,5,1,3,0,0,0,0,1,"5'4"" - 5'5""",150lb - 159lb,US8,L,1,55 to 64 years,Female,TX,bollit,1648574759,False,False,False
812189,E439714-000,23327,3,5,"Too wide, the sleeves are good length but the body too big. 
",Too big,4.5,87,2.99,2,2,5,10,68,"5'4"" - 5'5""",120lb - 129lb,US6,M,0,35 to 44 years,Female,TX,Lizfer,1648602173,False,False,False
1702591,E439714-000,23327,5,3,I sized up one size to be able to wear thicker sweaters/giddies under.,Perfect fit,4.5,87,2.99,2,2,5,10,68,"5'2"" - 5'3""",100lb - 109lb,,S,0,15 to 19 years,Female,,Burton,1647469322,False,False,False
