reviewId,productId,categroyId,rate,fit,comment,title,rating_average,rating_count,rating_fit,rating_1,rating_2,rating_3,rating_4,rating_5,heightRange,weightRange,shoeSize,purchasedSize,helpfulCount,ageRange,gender,location,name,createDate,isIncentivized,userCanLike,userCanReport
1109504,E444986-000,23377,1,3,"Attracts too much lint. A lot of lint, so much lint that its unbelievable. Trust me.",Too much lint,3,5,3.2,1,0,2,2,0,,,,,3,,Prefer not to say,,Ballsman,1646698163,False,False,False
44469,E444986-000,23377,3,3,The fit is good but the dark color attracts way too much lint. If you have pets their fur/hair will stick to this material.,Feel good but too much lint,3,5,3.2,1,0,2,2,0,,,,S,4,,Prefer not to say,,Mlllllg12,1645989008,False,False,False
156307,E444986-000,23377,3,2,"In general, this jacket is okay. But I don’t understand why it is left-handed with the zip line. It doesn’t mention it is a left-handed item. It takes extra time to line up the zip during each wearing because I am a right-handed person.",Why left-handed,3,5,3.2,1,0,2,2,0,"5'6"" - 5'7""",160lb - 169lb,,XL,1,65 years or over,Male,,Ben G,1645656367,False,False,False
93956,E444986-000,23377,4,5,"A beautiful jacket, and very warm, just a little to big compared to other same size jackets from this brand",Its beautiful,3,5,3.2,1,0,2,2,0,"4'8"" - 4'9""",150lb - 159lb,,M,3,35 to 44 years,Male,,Juan80,1644638781,False,False,False
94678,E444986-000,23377,4,3,"Bought the navy version.  Good fit, tts.  I have the same jacket in green from about 3 yrs ago.  Difference is there were buttons in the side pockets and on the inside pockets.  This new version does not have the buttons.  Fit still the same and overall happy with it.  Still would recommend for a descent price Harrington jacket",Different than old version,3,5,3.2,1,0,2,2,0,"5'6"" - 5'7""",130lb - 139lb,,XS,6,35 to 44 years,Male,,Toto000000,1644095628,False,False,False
590118,E445041-000,23377,5,3,I love the loose fit to this jacket. It is true to size. The green color provides a nice pop of color to your wardrobe and looks so nice thrown over your clothes.,Stylish Outer Layer,5,5,3.4,0,0,0,0,5,"6'0"" - 6'1""",160lb - 169lb,US11,L,0,25 to 34 years,Male,NY,jjp03232022,1648034082,False,False,False
1702061,E445041-000,23377,5,4,Bought this because I was needing a lighter spring jacket and the reviews on this seemed good but when I tried it on in store I knew I had to have it. Sizing is good for a coach jacket. Boxy but flattering. Soft and sturdy feel and the lining really is a great touch that allows breathability and easy on/off when layering. 12/10,Outdid my expectations,5,5,3.4,0,0,0,0,5,"6'4"" or over",,,XL,1,,Male,,CoachDaddy,1647582686,False,False,False
96734,E445041-000,23377,5,4,"good fit. looks nice, a little baggie. maybe get a size down",looks great,5,5,3.4,0,0,0,0,5,"5'10"" - 5'11""",,,L,1,20 to 24 years,Male,,6outof10,1645666184,False,False,False
6045,E445041-000,23377,5,3,"Fit him well, he likes it. wordswordswordswordswords",Got for friend,5,5,3.4,0,0,0,0,5,,,,,6,,Prefer not to say,,b9b9,1645316140,False,False,False
117707,E445041-000,23377,5,3,i have to commute to a windy area most days of the week. this jacket feels like a windbreaker in the way that i don’t feel too chilly wearing it. even better with a sweatshirt or hoodie underneath. i sized up for an oversized look.,stylish and comfy,5,5,3.4,0,0,0,0,5,"5'4"" - 5'5""",100lb - 109lb,,S,6,15 to 19 years,Female,,lovethyself,1644034608,False,False,False
1703017,E444556-000,23377,1,5,I ordered this in XXXL based on the recommendations in the website. The coat came in and it was too big.,The size was way too big,2,10,4.6,5,2,1,0,2,,,,Other,0,35 to 44 years,Male,,Jeezy Luigi,1646690849,False,False,False
